Frame,Timestamp,Total Students,Focused Students,Focus %,Face 1 Emotion,Face 1 Focus,Face 2 Emotion,Face 2 Focus,Face 3 Emotion,Face 3 Focus
4000,13:24:04,1,0,0.0,fear,Distracted,,,,
4010,13:24:04,1,1,100.0,happy,Focused,,,,
4020,13:24:04,1,1,100.0,surprise,Focused,,,,
4030,13:24:05,1,1,100.0,surprise,Focused,,,,
4040,13:24:05,1,1,100.0,happy,Focused,,,,
4050,13:24:05,1,1,100.0,surprise,Focused,,,,
4060,13:24:05,1,1,100.0,surprise,Focused,,,,
4070,13:24:05,1,0,0.0,sad,Distracted,,,,
4080,13:24:05,1,0,0.0,sad,Distracted,,,,
4090,13:24:05,1,0,0.0,sad,Distracted,,,,
4100,13:24:05,1,1,100.0,happy,Focused,,,,
4110,13:24:05,2,0,0.0,happy,Distracted,sad,Distracted,,
4120,13:24:06,1,0,0.0,sad,Distracted,,,,
4130,13:24:06,1,0,0.0,happy,Distracted,,,,
4140,13:24:06,1,0,0.0,happy,Distracted,,,,
4150,13:24:06,1,0,0.0,happy,Distracted,,,,
4160,13:24:06,1,1,100.0,happy,Focused,,,,
4170,13:24:06,1,0,0.0,happy,Distracted,,,,
4180,13:24:06,1,0,0.0,happy,Distracted,,,,
4190,13:24:06,2,0,0.0,happy,Distracted,happy,Distracted,,
4200,13:24:07,1,0,0.0,happy,Distracted,,,,
4210,13:24:07,2,0,0.0,happy,Distracted,fear,Distracted,,
4220,13:24:07,1,0,0.0,happy,Distracted,,,,
4230,13:24:07,1,1,100.0,surprise,Focused,,,,
4240,13:24:07,2,0,0.0,fear,Distracted,neutral,Distracted,,
4250,13:24:07,2,0,0.0,happy,Distracted,sad,Distracted,,
4260,13:24:07,3,0,0.0,happy,Distracted,neutral,Distracted,neutral,Distracted
4270,13:24:07,3,0,0.0,happy,Distracted,fear,Distracted,sad,Distracted
4280,13:24:08,2,0,0.0,happy,Distracted,fear,Distracted,,
4290,13:24:08,1,0,0.0,fear,Distracted,,,,
4300,13:24:08,1,0,0.0,fear,Distracted,,,,
4310,13:24:08,3,0,0.0,fear,Distracted,fear,Distracted,fear,Distracted
4320,13:24:08,1,1,100.0,surprise,Focused,,,,
4330,13:24:08,1,1,100.0,surprise,Focused,,,,
4340,13:24:08,1,1,100.0,surprise,Focused,,,,
4350,13:24:08,1,1,100.0,surprise,Focused,,,,
4360,13:24:09,1,1,100.0,surprise,Focused,,,,
4370,13:24:09,1,1,100.0,surprise,Focused,,,,
4380,13:24:09,1,1,100.0,surprise,Focused,,,,
4390,13:24:09,1,1,100.0,surprise,Focused,,,,
4400,13:24:09,1,1,100.0,surprise,Focused,,,,
4410,13:24:09,1,0,0.0,fear,Distracted,,,,
4420,13:24:09,1,1,100.0,surprise,Focused,,,,
4430,13:24:09,1,0,0.0,neutral,Distracted,,,,
4440,13:24:09,1,0,0.0,neutral,Distracted,,,,
4450,13:24:09,1,1,100.0,surprise,Focused,,,,
4460,13:24:10,1,1,100.0,surprise,Focused,,,,
4470,13:24:10,1,1,100.0,surprise,Focused,,,,
4480,13:24:10,2,0,0.0,neutral,Distracted,happy,Distracted,,
4490,13:24:10,2,0,0.0,sad,Distracted,neutral,Distracted,,
4500,13:24:10,2,0,0.0,fear,Distracted,happy,Distracted,,
4510,13:24:10,1,0,0.0,happy,Distracted,,,,
4520,13:24:10,1,0,0.0,fear,Distracted,,,,
4530,13:24:10,1,0,0.0,fear,Distracted,,,,
4540,13:24:10,1,0,0.0,happy,Distracted,,,,
4550,13:24:11,1,0,0.0,happy,Distracted,,,,
4560,13:24:11,1,0,0.0,happy,Distracted,,,,
4570,13:24:11,2,0,0.0,happy,Distracted,fear,Distracted,,
4580,13:24:11,1,1,100.0,surprise,Focused,,,,
4590,13:24:11,1,0,0.0,happy,Distracted,,,,
